Date,Event,Link,Sort Number,Entry ID
31/7/2020,"Th. Koukakis receives a suspicious message containing a link with a spoofed URL referring to the website tvxs.gr. The SMS reads: ""Thanasi, did you see this? These guys have gone too far.""",https://insidestory.gr/article/epimono-thyma,44043,a3e03479
10/8/2020, one with an academic and one with Kerin Hope,https://insidestory.gr/article/epimono-thyma,44053,b3915180
12/08/2020, the Greek Intelligence Service (EYP),https://www.reportersunited.gr/8646/eyp-koukakis/,44055,273caf85
20/08/2020,230 plus VAT to Krikel for the supply of computer equipment (server,https://www.efsyn.gr/politiki/379243_pos-i-aade-methodeyei-ton-entafiasmo-tis-ypothesis-krikel,44063,fcca33ce
05/11/2020, paragraph 4,https://www.kodiko.gr/nomothesia/document/650141,44140,c5e3199f
31/12/2020, a close partner of Intellexa based in France,https://linkmix.co/19167072,44196,ef8c5d6e
1/1/2021, the contract negotiation was conducted by Advanced Middle East Systems (AMES),https://linkmix.co/19167114,44197,9a62a982
26/01/2021, Grigoris Dimitriadis,https://linkmix.co/19588476,44222,6dd76cd8
29/1/2021,Ο Α. Γεωργιάδης στοχοποιείται για πρώτη φορά με SMS μολυσμένο με Predator.,https://x.com/reporters_gr/status/1821476546692989217,44225,0e96ff7f
10/02/2021,"Η Intellexa συνάπτει νέα σύμβαση με data-center στο Μαρούσι, υπερτετραπλασιάζοντας τη χωρητικότητά των racks της από 10 σε 42 U (μονάδα μέτρησης).",https://linkmix.co/19588302,44237,de68b617
18/2/2021,"Η Intellexa καταθέτει πρόταση σε Ουκρανική υπηρεσία ασφαλείας, η οποία κοστολογεί το βασικό πακέτο για το Predator σε 13.6 εκατομμύρια ευρώ.",https://int.nyt.com/data/documenttools/intellexa-commercial-proposal/309b14108229142a/full.pdf,44245,1a29b52a
19/2/2021,A. Georgiadis is targeted for a second time with an SMS infected with Predator.,https://x.com/reporters_gr/status/1821476546692989217,44246,c9d4a6c7
23/2/2021,"An ""Authorization to the Secretary General of the Prime Minister to sign 'On behalf of the Prime Minister' documents, acts and decisions concerning the Greek Intelligence Service (EYP)"" is signed by K. Mitsotakis, which will be published on 18 June 2021 in Government Gazette 2659. Based on the decision, G. Dimitriadis is authorized among other things to sign on behalf of the Prime Minister ""the determination of the specific procedure for the constitution and operation of the EYP Intelligence Council, the manner of decision-making, competences and any other related matter (...) the determination and announcement of positions to be filled by civilian personnel in the EYP, their number by category, branch and specialization, the procedure for conducting the competition (...) the approval of the EYP internal regulations""",https://linkmix.co/12871042,44250,477a3e49
09/03/2021,"Law 4782/2021 is passed. Based on articles 21 and 168, article 33 of 3433/2006 is amended as follows: 1) The maximum limit of participation guarantee is reduced from 5% to 2% 2) The maximum limit of performance guarantee is reduced to 5% from 10% 3) The requirement for participation guarantee in framework agreements and negotiation procedures without publication of a call is abolished.",https://linkmix.co/11624061,44264,c220957e
9/3/2021,"The URL edolio5[.]com is registered with Namecheap, which will be used later in the Predator infection operations targeting the phones of Th. Koukakis, Th. Karypidis, N. Androulakis.",https://www.documentonews.gr/article/apokalyptoyme-ti-lista-ton-paroxon-toy-predator/,44264,30d43378
10/03/2021,The Authority for Communication Security and Privacy (ADAE) contacts the EYP Prosecutor regarding whether the legal conditions are met for informing Th. Koukakis about the lifting of his communications secrecy.,https://www.reportersunited.gr/8646/eyp-koukakis/,44265,c9ea09a5
13/03/2021,"A drawing by 12-year-old Jamal from Syria, who was living in the Pre-Departure Detention Center in Kos, is published in Le Monde. The drawing had been submitted to a competition organized by the United Nations and the UN High Commissioner for Refugees (UNHCR) to mark ten years since the start of the war in Syria and was initially exhibited at the Museum of European and Mediterranean Civilisations in Marseille, from where Le Monde took it for a special Sunday supplement. An EYP document shows that the service was seeking information about the 12-year-old refugee child, as well as a journalist who was preparing a related report.",https://linkmix.co/12006210,44268,ac18031b
16/03/2021,"An amendment is submitted to a Justice Ministry bill providing for the issuance of a Joint Ministerial Decision by Justice Minister K. Tsiaras and Digital Governance Minister K. Pierrakakis. Based on the amendment, the EYP and Counter-Terrorism Service must send digitally and in encrypted form to ADAE and telecommunications providers the prosecutor's orders based on which surveillance is conducted. Encrypted transmission would ensure the secure and immediate transfer of orders to ADAE and allow the Authority to create a digital archive. To date, the Joint Ministerial Decision has not been issued.",https://linkmix.co/13658505,44271,22379d32
31/3/2021,"Through law 4790/2021 (article 87), ADAE is retroactively deprived of the ability to notify citizens of the lifting of their communications secrecy by the EYP if the reason for their surveillance concerns national security. In favor of the amendment voted New Democracy and KINAL, against SYRIZA and KKE, present Greek Solution and MeRA25.",https://linkmix.co/12008072,44286,d966318f
7/4/2021,"ADAE President Christos Rammos and two members, Stefanos Gritzalis and Aikaterini Papanikolaou, sign an article expressing their opposition to the amendment passed on 31 March 2021, arguing that the amendment violates the constitutionally guaranteed protection of communications secrecy and the right to respect for private and family life of the European Convention on Human Rights (ECHR).",https://www.constitutionalism.gr/2021-04-07-rammos-gritzalis-papanikolaou-aporrito-epikinonion,44293,b9a2f70b
17/05/2021,"Intellexa's headquarters are transferred to Elliniko, while some changes are also made to the company's articles of association with the signature of F. Bitzios.",https://www.businessregistry.gr/downloadFile/index?key=assemblyDecision&elementId=2548681,44333,db74aba6
20/5/2021,"French businessman Stéphane Saliès, head of French company Nexa which had been closely collaborating with Intellexa since 2019, informs in a conversation (which was the subject of lawful interception by French police) Renaud Roc (the company's number three) that he has surveillance equipment in Greece. The conversation concerned the export of Intellexa's spyware to Madagascar. The Mitsotakis government would shortly thereafter (November 2021) grant two export licenses for Predator to Madagascar.",https://www.reportersunited.gr/11739/predator-files-2-greece/,44336,0aa3f0e5
26/5/2021,"Eledyn, owned by G. Dimitriadis, sells Canalis to B&F for €166,513 (profit of €165,513), which is managed by Vasilis and Giorgos Bitharas. Giorgos Bitharas is a partner with a 50% stake in the company Delfon Line, while the other 50% is held by Krikel (interests of G. Lavranos).",https://www.reportersunited.gr/8948/o-megalos-anipsios-ki-o-megalos-aderfos/,44342,3ac7e9c6
31/5/2021,A. Georgiadis is targeted for a third time with an SMS infected with Predator.,https://x.com/reporters_gr/status/1821476546692989217,44347,41cd1ba2
15/6/2021,"French police raid the offices of Nexa company in Paris, search facilities, and detain executives, including Stéphane Saliès (head), Olivier Baubault (the company's number two), and Renaud Roc (number three). Between 15-17 June, Saliès testifies as a suspect for ""complicity in torture"" and authorities investigate whether spyware equipment exports to Libya and Egypt led to torture of dissidents. In his testimony, Saliès states that ""We are thinking of doing research and development [for the new product] in Greece."" When French authorities ask him if he tried to circumvent European legislation, Saliès places Greece at the center of the Intellexa galaxy, essentially presenting it as an EU member state where companies linked to Predator and other spyware would operate.",https://linkmix.co/19167246,44362,93c4453e
30/06/2021,"Intellexa's headquarters is transferred to the Municipality of Athens. A change in the articles of association now designates Sara Hamou as sole advisor-director and representative of the company, as F. Bitzios is removed from the position of director.",https://linkmix.co/13640045,44377,eb3af402
6/7/2021,A. Georgiadis is targeted for a fourth time with an SMS infected with Predator.,https://x.com/reporters_gr/status/1821476546692989217,44383,d322beb1
9/7/2021,A. Georgiadis is targeted for a fifth time with an SMS infected with Predator.,https://x.com/reporters_gr/status/1821476546692989217,44386,b33a302c
12/07/2021,"A trap message via Predator is sent to Th. Koukakis's mobile phone. ""Thanasis, do you know about this issue,"" read the message accompanied by a link to blogspot.edolio5[.]com. The phone is infected with Predator at least until 24 September 2021.",https://insidestory.gr/article/poios-parakoloythoyse-kinito-toy-dimosiografoy-thanasi-koykaki,44389,4b8e67ca
15/7/2021,A. Georgiadis is targeted for a sixth time with an SMS infected with Predator.,https://x.com/reporters_gr/status/1821476546692989217,44392,df3b6dc5
17/8/2021,A. Georgiadis is targeted for a seventh time with an SMS infected with Predator.,https://x.com/reporters_gr/status/1821476546692989217,44425,ef609576
12/09/2021,"The Greek Intelligence Service (EYP) lifts the confidentiality of N. Androulakis' phone, citing national security reasons.",https://www.kathimerini.gr/politics/562036996/ena-eggrafo-sozetai-apo-ton-fakelo-androylaki/,44451,7889ec10
16/9/2021,A. Georgiadis is targeted for the eighth time with a Predator-infected SMS.,https://x.com/reporters_gr/status/1821476546692989217,44455,4f784e0b
16/9/2021,"EYP employees, who had been transferred to a new sub-directorate that ""had nominal responsibility"" but ""none [responsibility] in practice"", send an extrajudicial notice to Prime Minister Kyriakos Mitsotakis, under whose control the EYP was placed immediately after the 2019 elections.",https://www.reportersunited.gr/17658/proin-ypallilos-eyp-predator-diki/,44455,548c4129
17/9/2021,"Artemis Seaford, former director of security at Meta (Facebook) and American citizen, has booked an appointment for coronavirus vaccination. She receives a genuine message from the vaccine platform and a few hours later, receives an SMS that looked like a vaccine message, but contained a Predator-infected link.",https://linkmix.co/25103286,44456,b9df567d
21/09/2021,"A Predator-infected text message is sent to the mobile phone of the then-candidate for the presidency of the Movement for Change (PASOK), Nikos Androulakis. The message appears to have been read one hour after receipt, but N. Androulakis never clicked the link and the infection attempt was unsuccessful.",https://www.iefimerida.gr/politiki/o-nikos-androylakis-kataggelei-apopeira-pagideysis-kai-parakoloythisis-toy-kinitoy-toy,44460,ba414391
28/09/2021,"Intellexa's balance sheet for 2020 is published. Its turnover was €777,925.",https://www.businessregistry.gr/downloadFile/index?key=assemblyDecision&elementId=2630042,44467,284d9d77
5/10/2021,A. Georgiadis is targeted for the ninth time with a Predator-infected SMS.,https://x.com/reporters_gr/status/1821476546692989217,44474,9cee298a
07/10/2021,Five military and police officials from Bangladesh travel to Greece to be trained in the use of a vehicle that conducts interceptions. This was preceded by written notification of the Greek embassy in Dhaka.,https://mhapsd.gov.bd/sites/default/files/files/mhapsd.portal.gov.bd/notices/57335304_ebc5_4118_bcac_0136432c9e40/30.pdf,44476,19d39143
12/10/2021,"Mr. Antonis Charitonos is appointed head of the Investigation and Public Revenue Security Service. The first decision he makes, six days later, is to draft a confidential document (protocol number 185648-18/10/2021) to the Athens Tax Office, ordering the release of Giannis Lavranos' accounts that had been frozen in summer 2021. The document was drafted by Mr. Charitonos alone, who is also socially connected to businessmen who were previously approached for collaborations by Giannis Lavranos and Grigoris Dimitriadis. Before Mr. Charitonos, the head of YEDDE was Mr. Spyros Kousounis, who was demonstrably under surveillance.",https://www.efsyn.gr/politiki/399397_poioi-kai-giati-apodesmeysan-toys-trapezikoys-logariasmoys-toy-labranoy,44481,454ccdb9
15/10/2021,"The ""unwanted"" EYP employees, who had sent an extrajudicial notice to K. Mitsotakis, file a lawsuit against all responsible parties.",https://www.reportersunited.gr/17658/proin-ypallilos-eyp-predator-diki/,44484,38a40425
20/10/2021,A. Georgiadis is targeted for the tenth time with an SMS infected with Predator.,https://x.com/reporters_gr/status/1821476546692989217,44489,2453dab0
9/11/2021,A. Georgiadis is targeted for the eleventh time with an SMS infected with Predator.,https://x.com/reporters_gr/status/1821476546692989217,44509,ba9de864
10/11/2021,"The offices of opposition newspaper La Gazette de la Grande Ile (The Newspaper of the Great Island) in Madagascar are targeted in a bombing attack. Journalist Roland Razaoamaharo, owner of the newspaper, had been the target for the demonstration of surveillance equipment by Nexa company to the country's authorities a year earlier. The equipment included a surveillance van, which through Alpha Max software can intercept mobile conversations and messages and geolocate them, and Predator with zero-click capability, without requiring the victim to click on an infected link.",https://linkmix.co/19208033,44510,a81ce0f6
13/11/2021,"An article in Efimerida ton Syntakton reveals the surveillance of anti-vaxxers in July 2020 and of 12-year-old Jamal in March 2021. Following the article, a statement is issued by SYRIZA's Citizen Protection spokesperson, Christos Spirtzis, denouncing the surveillance.",https://linkmix.co/11508623,44513,48e1e4a5
15/11/2021,The identity of Stavros Malichoudis is confirmed as the Solomon journalist whom the Greek Intelligence Service (EYP) made nominal reference to in its internal communications regarding the case of 12-year-old Jamal.,https://wearesolomon.com/mag/ta-nea-mas/to-solomon-sto-stoxastro-ths-eyp-apeilei-h-dhmosiografia-mas-thn-ethnikh-asfaleia/?lang=el,44515,2d2cb963
15/11/2021,New statement by C. Spirtzis following Efimerida ton Syntakton revelations about changes in recruitment procedures at the Greek Intelligence Service (EYP).,https://linkmix.co/11509061,44515,4bcfae80
15/11/2021,A phishing message is sent to C. Spirtzis's mobile phone with Predator that used the link efsyn[.]news instead of efsyn.gr.,https://web.archive.org/web/20220909175834im_/https://www.spirtzis.gr/wp-content/uploads/2022/09/01.jpg,44515,502294e9
15/11/2021,"The General Secretariat for International Economic Relations and Extroversion of the Ministry of Foreign Affairs, under Giannis Smyrlis, grants two licences to Signum company, member of the broader Intellexa organisation, to export Predator from Greece to at least one country, Madagascar.",https://linkmix.co/13597312,44515,ebfb72f7
18/11/2021,"The ""unwanted"" Greek Intelligence Service (EYP) employees, who had sent an extrajudicial letter to K. Mitsotakis and filed a lawsuit against unknown persons, are summoned by the prosecutor's office to prepare a memorandum, within the framework of its investigation for breach of duty by EYP officials.",https://www.reportersunited.gr/17658/proin-ypallilos-eyp-predator-diki/,44518,851e8679
19/11/2021,A second message is sent to C. Spirtzis aiming to compromise his mobile phone.,https://web.archive.org/web/20220909175834im_/https://www.spirtzis.gr/wp-content/uploads/2022/09/02.jpg,44519,11815382
23/11/2021,"Attempted Predator trap targeting an employee of the Greek Intelligence Service (EYP). Similar attempts follow against other service employees who had sent a formal extrajudicial protest letter to Prime Minister K. Mitsotakis, protesting that they had been transferred to new sub-directorates, ""freezer positions,"" without work duties and without anyone informing them about anything. During the same period, they had submitted reports to EYP director P. Kontoleontas without receiving any response. The attempts are revealed in an article by Efimerida ton Syntakton on 6 September 2022.",https://linkmix.co/11469369,44523,1dd653c1
23/11/2021,"An EYP employee, one of the ""undesirables"" who had filed a lawsuit, receives a Predator message and clicks the link. The message was received while six of the people who had filed the lawsuit were in their lawyer's office discussing the memorandum to the prosecutor's office, while another person who was present there also received a message.",https://www.reportersunited.gr/17658/proin-ypallilos-eyp-predator-diki/,44523,1f51e327
26/11/2021,"G. Gerapetritis, responding to Agence France-Presse, whose associate is Th. Koukakis, states that ""there is no surveillance of journalists in Greece.""",https://twitter.com/FPAGreece/status/1464201680094994432,44526,18d7cce2
14/12/2021,"According to journalistic sources, the three-month surveillance of N. Androulakis by EYP stops, two days after his election to the Presidency of PASOK.",https://www.ieidiseis.gr/politiki/157811/i-parakoloythisi-tou-androulaki-fainetai-na-eixe-sxesi-me-tin-kina,44544,8258147e
16/12/2021,"Investigations by Meta and Citizen Lab reveal that clients of Cytrox, the company that originally produced the Predator spyware, are located in Greece, and of the 310 identified fake websites distributing Predator, 42 targeted within Greece.",https://linkmix.co/12765826,44546,090a7f3b
16/12/2021,"Three Intellexa employees (Dimitris Xypteras, Ioannis Toumpis, Ioannis Boliaris) visit the company's data center in Marousi, where its servers have been installed since June 2020. According to the entry-exit log, they enter the data center at 11:20, shut down the servers and remove all the equipment. They leave at 12:30, one hour and 10 minutes after their entry.",https://linkmix.co/51457321,44546,b1efc2e6
17/12/2021,Deadline for transposing the whistleblowers directive. The directive will ultimately be transposed on 15 November 2022.,https://linkmix.co/13641055,44547,ef1aa8c6
22/12/2021,"A Ministerial Decision is issued stipulating that all public sector entities provide digital public services to natural or legal persons or legal entities exclusively through the Unified Digital Portal of Public Administration, with EYP exempted. EYP is given the option to create its own autonomous platform for the encrypted transmission of secrecy-lifting orders. The creation of a separate system would allow control over how orders are sent to the Authority for Communication Security and Privacy (ADAE), as the terms would be determined by its director. To date, EYP has not delivered the platform it was bound to create by law.",https://linkmix.co/13658768,44552,60a65bf8
7/1/2022,"Inside Story publishes for the first time a detailed report on Predator and similar surveillance software, based on reports by Citizen Lab and Meta. The same article describes the network of companies connected to Intellexa, as well as the profile of Tal Dilian. After reading the article, Th. Koukakis immediately contacts David Agranovich, author of Meta's report, who put him in touch with Artemis Seaford, Meta's cybersecurity head for Greece, and with Bill Marczak of Citizen Lab, to conduct technical diagnosis of the infection.",https://linkmix.co/16550924,44568,57fea4ed
10/01/2022,Three army and government officials from Bangladesh travel to Greece to attend a demonstration of a vehicle that conducts interceptions. This follows written notification to the Greek embassy in Dhaka.,https://mhapsd.portal.gov.bd/sites/default/files/files/mhapsd.portal.gov.bd/notices/eff06988_f582_468d_8eef_d3ed0b49acda/31.pdf,44571,cde6a233
13/02/2022,"In a document signed by Intellexa and originating from the Ministry of Foreign Affairs, the company states that it will act ""on behalf of Krikel to supply the information system"" to Sudan.",https://linkmix.co/19588302,44605,d4329d67
22/2/2022,"Cypriot justice authorities impose a fine of nearly €1 million on Wispear, linked to T. Dilian and predecessor of Intellexa, for violation of personal data protection.",https://linkmix.co/14207146,44614,04496478
24/2/2022,The Solomon team files a criminal complaint before the Supreme Court prosecutor regarding the surveillance of citizens by the Greek Intelligence Service (EYP).,https://wearesolomon.com/mag/logodosia/to-solomon-stelnei-ston-areio-pago-tis-parakolouthiseis-politon-apo-tin-eyp,44616,a6807e10
28/3/2022,"Thanasis Koukakis is informed by the Citizen Lab of the University of Toronto about the breach of his communications privacy and the infection of his mobile phone via Predator, between 12 July and 24 September 2021.",https://insidestory.gr/article/poios-parakoloythoyse-kinito-toy-dimosiografoy-thanasi-koykaki,44648,31dd77f3
